2025-07-07 03:31:08,743 | INFO | Sigma increased: 15
2025-07-07 03:31:33,473 | INFO | Sigma increased: 15
2025-07-07 03:32:00,261 | INFO | Sigma increased: 14.256135334212432
2025-07-07 03:32:17,757 | INFO | Sigma increased: 15
2025-07-07 03:32:40,443 | INFO | Sigma increased: 15
2025-07-07 03:33:06,092 | INFO | Sigma increased: 15
2025-07-07 03:33:44,536 | INFO | Sigma increased: 15
2025-07-07 03:34:33,224 | INFO | Sigma increased: 15
2025-07-07 03:35:21,809 | INFO | Sigma increased: 15
2025-07-07 03:36:12,286 | INFO | Sigma increased: 15
2025-07-07 03:36:59,402 | INFO | Sigma increased: 15
2025-07-07 03:37:51,664 | INFO | Sigma increased: 15
2025-07-07 03:38:38,697 | INFO | Sigma increased: 15
2025-07-07 03:39:37,766 | INFO | Sigma increased: 15
2025-07-07 03:40:42,461 | INFO | Sigma increased: 15
2025-07-07 03:41:40,561 | INFO | Sigma increased: 15
2025-07-07 03:42:31,329 | INFO | Sigma increased: 15
2025-07-07 03:45:15,231 | INFO | Sigma increased: 15
2025-07-07 03:46:18,645 | INFO | Sigma increased: 15
2025-07-07 03:47:24,780 | INFO | Sigma increased: 15
2025-07-07 03:48:27,970 | INFO | Sigma increased: 15
2025-07-07 03:49:27,495 | INFO | Sigma increased: 15
2025-07-07 03:59:01,904 | INFO | Sigma increased: 3.350798947470688
2025-07-07 04:05:07,835 | INFO | Sigma increased: 1
2025-07-07 04:08:05,547 | INFO | Sigma increased: 1
2025-07-07 04:11:18,269 | INFO | Sigma increased: 2.4343937347266302
2025-07-07 04:12:18,454 | INFO | Sigma increased: 8.023909976170364
2025-07-07 04:21:34,887 | INFO | Sigma increased: 2.8094131407543657
2025-07-07 04:22:27,162 | INFO | Sigma increased: 7.855327748423151
2025-07-07 04:23:49,285 | INFO | Sigma increased: 14.513533786428885
2025-07-07 04:25:04,956 | INFO | Sigma increased: 15
2025-07-07 04:26:21,035 | INFO | Sigma increased: 15
2025-07-07 04:27:37,347 | INFO | Sigma increased: 15
2025-07-07 04:28:46,632 | INFO | Sigma increased: 15
2025-07-07 04:30:13,032 | INFO | Sigma increased: 15
2025-07-07 04:31:25,886 | INFO | Sigma increased: 15
2025-07-07 04:32:40,657 | INFO | Sigma increased: 15
2025-07-07 04:39:19,869 | INFO | Sigma increased: 13.455557643550204
2025-07-07 04:40:37,781 | INFO | Sigma increased: 15
2025-07-07 04:42:06,836 | INFO | Execution finished for solver: ODEINT, seed: 1, error: MSE in 4580.02 seconds.
2025-07-07 04:42:06,838 | INFO | Results saved to ../../Outputs/ECOLI_CMAES_SERIAL_20250706_233442\results.csv
2025-07-07 04:42:06,839 | INFO | Running with seed=2, solver=ODEINT, error=SQUARED
2025-07-07 04:42:06,839 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=SQUARED, Seed=2
2025-07-07 04:42:16,483 | INFO | Sigma increased: 4.836333861662602
2025-07-07 04:42:19,892 | INFO | Sigma increased: 8.457414297628278
2025-07-07 04:42:25,415 | INFO | Sigma increased: 5.755045638675745
2025-07-07 04:42:31,306 | INFO | Sigma increased: 7.1957261037852485
2025-07-07 04:42:36,250 | INFO | Sigma increased: 9.372211960882074
2025-07-07 04:42:40,862 | INFO | Sigma increased: 8.469742950729199
2025-07-07 04:43:03,237 | INFO | Sigma increased: 6.0128041778582775
2025-07-07 04:43:07,818 | INFO | Sigma increased: 10.529287457625854
2025-07-07 04:43:12,379 | INFO | Sigma increased: 13.59240364923551
2025-07-07 04:43:16,996 | INFO | Sigma increased: 11.399636092658938
2025-07-07 04:43:20,825 | INFO | Sigma increased: 14.02606297096046
2025-07-07 04:43:24,294 | INFO | Sigma increased: 15
2025-07-07 04:43:30,735 | INFO | Sigma increased: 15
2025-07-07 04:43:36,546 | INFO | Sigma increased: 15
2025-07-07 04:43:43,606 | INFO | Sigma increased: 13.414180157744495
2025-07-07 04:43:50,585 | INFO | Sigma increased: 15
2025-07-07 04:43:57,583 | INFO | Sigma increased: 15
2025-07-07 04:48:55,649 | INFO | Sigma increased: 2.0893995775803442
2025-07-07 04:49:43,621 | INFO | Sigma increased: 7.010722326516369
2025-07-07 04:50:16,742 | INFO | Sigma increased: 12.287525818751256
2025-07-07 04:50:43,204 | INFO | Sigma increased: 15
2025-07-07 04:51:00,850 | INFO | Sigma increased: 15
2025-07-07 04:51:18,133 | INFO | Sigma increased: 15
2025-07-07 04:51:43,840 | INFO | Sigma increased: 15
2025-07-07 04:51:47,814 | INFO | Sigma increased: 15
2025-07-07 04:52:04,901 | INFO | Sigma increased: 15
2025-07-07 04:52:18,611 | INFO | Sigma increased: 15
2025-07-07 04:52:34,320 | INFO | Sigma increased: 15
2025-07-07 04:53:00,882 | INFO | Sigma increased: 15
2025-07-07 04:53:21,612 | INFO | Sigma increased: 15
2025-07-07 04:53:37,397 | INFO | Sigma increased: 15
2025-07-07 04:53:57,362 | INFO | Sigma increased: 15
2025-07-07 04:54:21,029 | INFO | Sigma increased: 15
2025-07-07 04:54:38,915 | INFO | Sigma increased: 15
2025-07-07 04:54:40,543 | INFO | Sigma increased: 15
2025-07-07 04:54:58,703 | INFO | Sigma increased: 15
2025-07-07 04:55:27,321 | INFO | Sigma increased: 15
2025-07-07 04:55:48,457 | INFO | Sigma increased: 15
2025-07-07 04:56:09,900 | INFO | Sigma increased: 15
2025-07-07 04:56:43,856 | INFO | Sigma increased: 15
2025-07-07 04:57:14,283 | INFO | Sigma increased: 15
2025-07-07 04:57:47,068 | INFO | Sigma increased: 15
2025-07-07 04:58:11,160 | INFO | Sigma increased: 15
2025-07-07 04:58:36,304 | INFO | Sigma increased: 15
2025-07-07 04:58:59,812 | INFO | Sigma increased: 15
2025-07-07 04:59:24,681 | INFO | Sigma increased: 15
2025-07-07 04:59:48,927 | INFO | Sigma increased: 15
2025-07-07 05:00:42,543 | INFO | Sigma increased: 15
2025-07-07 05:01:25,033 | INFO | Sigma increased: 15
2025-07-07 05:02:06,857 | INFO | Sigma increased: 15
2025-07-07 05:02:51,944 | INFO | Sigma increased: 15
2025-07-07 05:03:45,885 | INFO | Sigma increased: 15
2025-07-07 05:04:37,235 | INFO | Sigma increased: 15
2025-07-07 05:05:34,740 | INFO | Sigma increased: 15
2025-07-07 05:06:39,638 | INFO | Sigma increased: 15
2025-07-07 05:09:30,252 | INFO | Sigma increased: 5.459346011567682
2025-07-07 05:10:31,169 | INFO | Sigma increased: 10.412405832698957
2025-07-07 05:11:24,270 | INFO | Sigma increased: 15
2025-07-07 05:12:21,632 | INFO | Sigma increased: 15
2025-07-07 05:14:19,047 | INFO | Sigma increased: 15
2025-07-07 05:15:21,858 | INFO | Sigma increased: 15
2025-07-07 05:16:17,397 | INFO | Sigma increased: 15
2025-07-07 05:17:22,679 | INFO | Sigma increased: 15
2025-07-07 05:18:33,832 | INFO | Sigma increased: 15
2025-07-07 05:19:46,572 | INFO | Sigma increased: 15
2025-07-07 05:21:01,187 | INFO | Sigma increased: 15
2025-07-07 05:22:13,931 | INFO | Sigma increased: 15
2025-07-07 05:23:23,871 | INFO | Sigma increased: 15
2025-07-07 05:24:34,986 | INFO | Sigma increased: 15
2025-07-07 05:25:48,716 | INFO | Sigma increased: 15
2025-07-07 05:27:01,904 | INFO | Sigma increased: 15
2025-07-07 05:28:16,954 | INFO | Sigma increased: 15
2025-07-07 05:29:31,818 | INFO | Sigma increased: 15
2025-07-07 05:30:40,029 | INFO | Sigma increased: 15
2025-07-07 05:31:53,561 | INFO | Sigma increased: 15
2025-07-07 05:33:05,745 | INFO | Sigma increased: 15
2025-07-07 05:34:14,803 | INFO | Sigma increased: 15
2025-07-07 05:35:23,667 | INFO | Sigma increased: 15
2025-07-07 05:36:39,911 | INFO | Sigma increased: 15
2025-07-07 05:38:03,102 | INFO | Sigma increased: 15
2025-07-07 05:39:18,631 | INFO | Sigma increased: 15
2025-07-07 05:40:34,606 | INFO | Sigma increased: 15
2025-07-07 05:41:49,719 | INFO | Sigma increased: 15
2025-07-07 05:43:05,786 | INFO | Sigma increased: 15
2025-07-07 05:44:15,910 | INFO | Sigma increased: 15
2025-07-07 05:45:31,893 | INFO | Sigma increased: 15
2025-07-07 05:46:54,684 | INFO | Sigma increased: 15
2025-07-07 05:48:10,746 | INFO | Sigma increased: 15
2025-07-07 05:49:33,750 | INFO | Sigma increased: 15
2025-07-07 05:50:54,597 | INFO | Sigma increased: 15
2025-07-07 05:52:15,048 | INFO | Sigma increased: 15
2025-07-07 05:53:27,935 | INFO | Sigma increased: 15
2025-07-07 05:54:41,038 | INFO | Sigma increased: 15
2025-07-07 05:56:05,077 | INFO | Sigma increased: 15
2025-07-07 05:57:23,543 | INFO | Sigma increased: 15
2025-07-07 05:58:40,576 | INFO | Sigma increased: 15
2025-07-07 05:59:49,983 | INFO | Sigma increased: 15
2025-07-07 06:01:06,388 | INFO | Sigma increased: 15
2025-07-07 06:02:23,887 | INFO | Sigma increased: 15
2025-07-07 06:02:55,661 | INFO | Execution finished for solver: ODEINT, seed: 2, error: SQUARED in 4848.78 seconds.
2025-07-07 06:02:55,664 | INFO | Results saved to ../../Outputs/ECOLI_CMAES_SERIAL_20250706_233442\results.csv
2025-07-07 06:02:55,664 | INFO | Running with seed=2, solver=ODEINT, error=MSE
2025-07-07 06:02:55,665 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=MSE, Seed=2
2025-07-07 06:02:58,532 | INFO | Sigma increased: 7.827767577452955
2025-07-07 06:03:02,258 | INFO | Sigma increased: 7.577004603027815
2025-07-07 06:03:05,155 | INFO | Sigma increased: 10.54859299167264
2025-07-07 06:03:09,182 | INFO | Sigma increased: 8.847068204761268
2025-07-07 06:03:12,938 | INFO | Sigma increased: 10.197264597465647
2025-07-07 06:03:14,828 | INFO | Sigma increased: 9.712911718311702
2025-07-07 06:03:19,140 | INFO | Sigma increased: 12.985917318081633
2025-07-07 06:03:24,527 | INFO | Sigma increased: 11.376383276842725
2025-07-07 06:03:27,666 | INFO | Sigma increased: 14.202405030794027
2025-07-07 06:03:32,913 | INFO | Sigma increased: 14.54377379247153
2025-07-07 06:03:37,826 | INFO | Sigma increased: 14.15520875443552
2025-07-07 06:03:42,577 | INFO | Sigma increased: 15
2025-07-07 06:03:46,141 | INFO | Sigma increased: 15
2025-07-07 06:03:48,540 | INFO | Sigma increased: 15
2025-07-07 06:03:55,699 | INFO | Sigma increased: 15
2025-07-07 06:04:01,655 | INFO | Sigma increased: 15
2025-07-07 06:04:09,761 | INFO | Sigma increased: 12.49782677747097
2025-07-07 06:04:18,754 | INFO | Sigma increased: 15
2025-07-07 06:04:26,744 | INFO | Sigma increased: 15
2025-07-07 06:04:33,426 | INFO | Sigma increased: 15
2025-07-07 06:04:42,616 | INFO | Sigma increased: 15
2025-07-07 06:04:50,620 | INFO | Sigma increased: 15
2025-07-07 06:04:59,203 | INFO | Sigma increased: 15
2025-07-07 06:05:13,043 | INFO | Sigma increased: 15
2025-07-07 06:05:23,757 | INFO | Sigma increased: 15
2025-07-07 06:05:35,034 | INFO | Sigma increased: 15
2025-07-07 06:05:50,557 | INFO | Sigma increased: 15
2025-07-07 06:06:07,816 | INFO | Sigma increased: 15
