best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=3.5421765856490754, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.9880509151424066, 'k': val=2.0, '-': False}, 'tau': val=1.5393238819075532}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=1.641442432190399, 'k': val=2.0, '-': False}, 'tau': val=2.5828884293411005}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=0.1, '-': False}, 'E': {'n': val=11.416891215180826, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",ABS,RK45,5,129.16595541867773,11.36308393347118,0.5164787059164437,0.5166638216747108,59.12279295921326
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=2.925474865105745}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=9.070866136293581, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=12.020360328715276, 'k': val=0.1, '-': False}, 'tau': val=2.4563989937009207}}, ind_size=19)",MSE,RK45,4,119.5308109260009,9.308574632170941,0.34659824673078554,0.47812324370400355,61.01485872268677
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=7.11870319141853, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=7.126580715863195, 'k': val=0.1, '-': False}, 'E': {'n': val=11.2937915592143, 'k': val=0.1, '-': False}, 'tau': val=2.3805468227230744}}, ind_size=19)",MSE,RK45,5,130.21812216111573,10.017777061205146,0.4014234289920319,0.5208724886444629,58.87543964385986
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=7.11870319141853, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=7.126580715863195, 'k': val=0.1, '-': False}, 'E': {'n': val=11.2937915592143, 'k': val=0.1, '-': False}, 'tau': val=2.3805468227230744}}, ind_size=19)",SQUARED,RK45,5,130.21812216111573,10.017777061205146,0.4014234289920319,0.5208724886444629,59.90567994117737
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=1.568596927242821, 'k': val=2.0, '-': False}, 'tau': val=0.35412745797196354}, 'E': {'D': {'n': val=0.4538243694418864, 'k': val=2.0, '-': False}, 'B': {'n': val=25.9403422806532, 'k': val=0.1, '-': False}, 'E': {'n': val=15.565509443403844, 'k': val=2.0, '-': False}, 'tau': val=4.491683318752085}}, ind_size=19)",SQUARED,RK45,6,113.19558546353926,9.197304316272136,0.3383616267444724,0.4527823418541571,45.90324258804321
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=1.568596927242821, 'k': val=2.0, '-': False}, 'tau': val=0.35412745797196354}, 'E': {'D': {'n': val=0.4538243694418864, 'k': val=2.0, '-': False}, 'B': {'n': val=25.9403422806532, 'k': val=0.1, '-': False}, 'E': {'n': val=15.565509443403844, 'k': val=2.0, '-': False}, 'tau': val=4.491683318752085}}, ind_size=19)",ABS,RK45,6,113.19558546353926,9.197304316272136,0.3383616267444724,0.4527823418541571,49.98882722854614
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=1.568596927242821, 'k': val=2.0, '-': False}, 'tau': val=0.35412745797196354}, 'E': {'D': {'n': val=0.4538243694418864, 'k': val=2.0, '-': False}, 'B': {'n': val=25.9403422806532, 'k': val=0.1, '-': False}, 'E': {'n': val=15.565509443403844, 'k': val=2.0, '-': False}, 'tau': val=4.491683318752085}}, ind_size=19)",MSE,RK45,6,113.19558546353926,9.197304316272136,0.3383616267444724,0.4527823418541571,47.93508839607239
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=6.595803118918878, 'k': val=0.5175858750920952, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.12250921327453357}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.8345173880427881}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=2.878201636785844, 'k': val=0.1, '-': False}, 'E': {'n': val=25.226580056634933, 'k': val=2.0, '-': False}, 'tau': val=2.570655729059481}}, ind_size=19)",MSE,RK45,7,105.08946084620025,8.531534860308676,0.29114834829064884,0.420357843384801,45.1173837184906
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=1.568596927242821, 'k': val=2.0, '-': False}, 'tau': val=0.35412745797196354}, 'E': {'D': {'n': val=0.4538243694418864, 'k': val=2.0, '-': False}, 'B': {'n': val=25.9403422806532, 'k': val=0.1, '-': False}, 'E': {'n': val=15.565509443403844, 'k': val=2.0, '-': False}, 'tau': val=4.491683318752085}}, ind_size=19)",MABS,RK45,6,113.19558546353926,9.197304316272136,0.3383616267444724,0.4527823418541571,47.639978885650635
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=0.1, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=12.590164759053554, 'k': val=0.1, '-': False}, 'tau': val=4.787856188152964}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=30.0, 'k': val=0.1, '-': False}, 'tau': val=0.1}}, ind_size=19)",ABS,RK45,8,111.24699506333354,8.816874826446409,0.3109491268208975,0.44498798025333414,44.00076484680176
